id,year_birth,education,marital_status,income,income_r$,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response,age
5524,1957,graduation,single,"R$ 58.138,00","5813800,00%",0,0,2012-04-09,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,68
2174,1954,graduation,single,"R$ 46.344,00","4634400,00%",1,1,2014-08-03,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,71
4141,1965,graduation,together,"R$ 71.613,00","7161300,00%",0,0,,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,60
6182,1984,graduation,together,"R$ 26.646,00","2664600,00%",1,0,2014-10-02,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,41
5324,1981,phd,married,"R$ 58.293,00","5829300,00%",1,0,,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,44
7446,1967,master,together,"R$ 62.513,00","6251300,00%",0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,58
965,1971,graduation,divorced,"R$ 55.635,00","5563500,00%",0,1,,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,54
6177,1985,phd,married,"R$ 33.454,00","3345400,00%",1,0,2013-08-05,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,40
4855,1974,phd,together,"R$ 30.351,00","3035100,00%",1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,51
5899,1950,phd,together,"R$ 5.648,00","564800,00%",1,1,,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,75
1994,1983,graduation,married,"R$ 0,00","0,00%",1,0,,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,42
387,1976,basic,married,"R$ 7.500,00","750000,00%",0,0,,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,49
2125,1959,graduation,divorced,"R$ 63.033,00","6303300,00%",0,0,,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,66
8180,1952,master,divorced,"R$ 59.354,00","5935400,00%",1,1,,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,73
2569,1987,graduation,married,"R$ 17.323,00","1732300,00%",0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,38
2114,1946,phd,single,"R$ 82.800,00","8280000,00%",0,0,,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,79
9736,1980,graduation,married,"R$ 41.850,00","4185000,00%",1,1,,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,45
4939,1946,graduation,together,"R$ 37.760,00","3776000,00%",0,0,,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,79
6565,1949,master,married,"R$ 76.995,00","7699500,00%",0,1,,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,76
2278,1985,2n cycle,single,"R$ 33.812,00","3381200,00%",1,0,2012-03-11,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,40
9360,1982,graduation,married,"R$ 37.040,00","3704000,00%",0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,43
5376,1979,graduation,married,"R$ 2.447,00","244700,00%",1,0,2013-06-01,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,46
1993,1949,phd,married,"R$ 58.607,00","5860700,00%",0,1,,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,76
